ЖК, Метро, Срок сдачи, Количество комнат, Площадь (кв.м), Цена от (млн. руб), Цена до (млн. руб)
ЖК City Bay,м. Волоколамская; Мякинино; Тушинская,2024,1,38.8,,15.6
ЖК Пресня Сити,м. Белорусская; Улица 1905 года,2018,1,44.8,,19.1
Эко-квартал VERY,м. Владыкино; Петровско-Разумовская; Фонвизинская,2024,1,38.7,,17.4
Новостройка HEADLINER (Центр-Сити),м. Беговая; Выставочная; Фили; Шелепиха,2024,1,29.5,,21.9
Квартал iLove,м. Алексеевская; Бутырская; ВДНХ,2024,1,37.0,,19.1
ЖК Symphony 34,м. Дмитровская,2025,1,25.8,17.8,
ЖК Dream Towers,м. Коломенская; Технопарк,2023,1,40.0,,26.3
Сити-комплекс "Перец",м. Митино; Пятницкое шоссе,2023,1,46.6,7.5,
ЖК Ривер Парк (River Park),м. Коломенская; Печатники,2024,1,37.0,,15.3
ЖК B’aires,м. Стрешнево (МЦК),2022,1,27.5,,11.8
Апарт-отель Измайловский парк,м. Измайлово (МЦК); Партизанская,2023,1,30.0,,
Комплекс апартаментов Легендарный квартал на Березовой аллее (быв. Березовая Аллея),м. Ботанический сад; Отрадное,2021,1,32.1,,9.5
ЖК Residence Hall Шаболовский,м. Шаболовская,2022,1,38.7,,
ЖК AFI Tower,м. Ботанический сад; Свиблово,2023,1,38.2,15.4,
ЖК Shagal,м. ЗИЛ (МЦК); Технопарк,2023,1,39.5,,26.2
ЖК Стеллар Сити,м. Молодежная,2024,1,39.9,10.2,
Апарт-отель «Резиденция «Сокольники»,м. Рижская; Сокольники,2022,1,41.1,12.1,
ЖК MOD,м. Алексеевская; Марьина Роща; Рижская,2024,1,39.8,,18.2
ЖК ONYX DELUXE (Оникс Делюкс),м. Новые Черемушки,2020,1,43.0,18.7,
ЖК Вестердам,м. Мичуринский проспект,2023,1,34.1,,19.5
Дом «Достижение»,м. Бутырская; ВДНХ,2023,1,34.8,,60.5
ЖК City Bay,м. Волоколамская; Мякинино; Тушинская,2024,1,38.8,,15.6
ЖК Пресня Сити,м. Белорусская; Улица 1905 года,2018,1,44.8,,19.1
Эко-квартал VERY,м. Владыкино; Петровско-Разумовская; Фонвизинская,2024,1,38.7,,17.4
Новостройка HEADLINER (Центр-Сити),м. Беговая; Выставочная; Фили; Шелепиха,2024,1,29.5,,21.9
Квартал iLove,м. Алексеевская; Бутырская; ВДНХ,2024,1,37.0,,19.1
ЖК Symphony 34,м. Дмитровская,2025,1,25.8,17.8,
ЖК Dream Towers,м. Коломенская; Технопарк,2023,1,40.0,,26.3
Сити-комплекс "Перец",м. Митино; Пятницкое шоссе,2023,1,46.6,7.5,
ЖК Ривер Парк (River Park),м. Коломенская; Печатники,2024,1,37.0,,15.3
ЖК B’aires,м. Стрешнево (МЦК),2022,1,27.5,,11.8
Апарт-отель Измайловский парк,м. Измайлово (МЦК); Партизанская,2023,1,30.0,,
Комплекс апартаментов Легендарный квартал на Березовой аллее (быв. Березовая Аллея),м. Ботанический сад; Отрадное,2021,1,32.1,,9.5
ЖК Residence Hall Шаболовский,м. Шаболовская,2022,1,38.7,,
ЖК AFI Tower,м. Ботанический сад; Свиблово,2023,1,38.2,15.4,
ЖК Shagal,м. ЗИЛ (МЦК); Технопарк,2023,1,39.5,,26.2
ЖК Стеллар Сити,м. Молодежная,2024,1,39.9,10.2,
Апарт-отель «Резиденция «Сокольники»,м. Рижская; Сокольники,2022,1,41.1,12.1,
ЖК MOD,м. Алексеевская; Марьина Роща; Рижская,2024,1,39.8,,18.2
ЖК ONYX DELUXE (Оникс Делюкс),м. Новые Черемушки,2020,1,43.0,18.7,
ЖК Вестердам,м. Мичуринский проспект,2023,1,34.1,,19.5
Дом «Достижение»,м. Бутырская; ВДНХ,2023,1,34.8,,60.5
ЖК City Bay,м. Волоколамская; Мякинино; Тушинская,2024,1,38.8,,15.6
ЖК Пресня Сити,м. Белорусская; Улица 1905 года,2018,1,44.8,,19.1
Эко-квартал VERY,м. Владыкино; Петровско-Разумовская; Фонвизинская,2024,1,38.7,,17.4
Новостройка HEADLINER (Центр-Сити),м. Беговая; Выставочная; Фили; Шелепиха,2024,1,29.5,,21.9
Квартал iLove,м. Алексеевская; Бутырская; ВДНХ,2024,1,37.0,,19.1
ЖК Symphony 34,м. Дмитровская,2025,1,25.8,17.8,
ЖК Dream Towers,м. Коломенская; Технопарк,2023,1,40.0,,26.3
Сити-комплекс "Перец",м. Митино; Пятницкое шоссе,2023,1,46.6,7.5,
ЖК Ривер Парк (River Park),м. Коломенская; Печатники,2024,1,37.0,,15.3
ЖК B’aires,м. Стрешнево (МЦК),2022,1,27.5,,11.8
Апарт-отель Измайловский парк,м. Измайлово (МЦК); Партизанская,2023,1,30.0,,
